a	手	扌手
b	宀	丷宀八贝勹卜白匕疒貝比冫髟癶鼻
c		虫寸厂车彳車巛臣辰采川齒长赤齿镸長
d	丶	丶大刀刂豆歹斗鬥鼎
e	水已	氵儿水而二已
f	阝耳纟	阝糹匚耳方纟糸丰缶非父風风飞邑阜
g		戈广弓工廾艮革干骨鬼谷高甘瓜鬲鼓龟
h	一	一火禾灬虍户黑黄
i	木	木
j		釒巾钅臼卩几斤见金角見旡己韭
k	竹衣〇	竹衣衤凵克 〇（空）
l	丨月	丨月力立耂鹿里龍耒龙隶鹵卤
m		目米冖皿馬门马門毛矛母麻面黽麥黾麦毋
n	乀	女乀鳥牛鸟牜
o	口	口
p	丿石尸殳	丿石尸殳皮片爿丬
q	酉	犭酉欠犬青气齐齊
r	雨	日雨肉曰入
s		十山厶士罒豕彡示巳飠礻氏矢生饣舌身鼠色食首
t	冂亠	土冂田亠 √（提）
u	艹	艹艸
v	乙人	乙人亻
w	囗	王攵囗兀文瓦韦韋攴
x	乂彑	心小忄夕彐西乂穴辛玄香血彑爻
y	廴	又言魚羽聿羊讠用鱼业页頁幺廴弋音尢牙龠
z	夂疋	辶隹夂足子爫止疋舟至走自豸支之爪
掱	aaa	手手手
搼	aab	扌手丷
擵	aam	扌手麻
挚	aap	手扌丿
抙	aav	扌手乙
搻	aav	手手人
撑	aax	扌手小
揩	abb	扌白比
摈	abb	扌宀八
擯	abb	扌宀貝
抣	abb	扌勹冫
拤	abb	扌卜卜
拕	abb	扌宀匕
挊	abb	扌卜卜
揁	abb	扌貝卜
拳	abd	手丷大
扑	abd	扌卜丶
扚	abd	扌勹丶
撜	abd	扌癶豆
攅	abd	扌貝大
攒	abe	扌贝儿
攢	abe	扌貝儿
挩	abe	扌八儿
捝	abe	扌丷儿
掏	abf	扌勹缶
拼	abg	扌丷廾
撥	abg	扌癶弓
挮	abg	扌丷弓
摃	abg	扌貝工
搈	abg	扌宀谷
拍	abh	扌白一
捖	abh	扌宀一
攋	abi	扌貝木
抭	abj	扌宀几
拌	abl	扌丷丨
擤	abl	扌鼻丨
撌	abl	扌貝丨
掬	abm	扌勹米
掼	abm	扌贝母
摜	abm	扌貝母
按	abn	扌宀女
扒	abn	扌八乀
拘	abo	扌勹口
拈	abo	扌卜口
揢	abo	扌宀口
搳	abo	扌宀口
挓	abp	扌宀丿
捠	abp	扌八丿
捾	abp	扌宀尸
揂	abq	扌丷酉
揎	abr	扌宀日
抱	abs	扌勹巳
